,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=PI_JLN_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
1000,0.19764164164164164,-0.007271003177290631,0.3591499361844371,1.8171774591694487,2.256475529816076,0.14285714285714285,0.6354807499026787,0.42112193837239925,2.3671354552183566,7,0.7890490953906885,6.540604472278003,341,2.53842070860887,1.1725518953068592,0.14285714285714285,0.002932551319648094,18.29985
1025,0.19795595595595594,-0.014864248755549665,0.35958090191041575,1.8164692250553978,2.2567438908283086,0.14285714285714285,0.6359718885400633,0.41360652919224505,2.3550040308649085,7,0.7736195072549134,6.498476177576107,341,2.527543166350573,1.1502460975952749,0.14285714285714285,0.002932551319648094,18.332
1050,0.19814414414414414,-0.017680785205416223,0.36057308558899903,1.8197514094925387,2.256956741715153,0.14285714285714285,0.6362930821378815,0.4110514988936377,2.340120793787748,7,0.7543285725053729,6.4425436902983195,341,2.518664223622012,1.139994956146496,0.14285714285714285,0.002932551319648094,18.36415
1075,0.19728728728728728,-0.02078293971893632,0.36012988989801614,1.8254084936228026,2.2547013977128336,0.14285714285714285,0.6325176427284841,0.40485057587904005,2.3298294790936698,7,0.7410571298576084,6.413073945541911,341,2.5132920915533212,1.12417932317056,0.14285714285714285,0.002932551319648094,18.44451
1100,0.19664064064064063,-0.027700874283218185,0.3601331677220989,1.8314279619350902,2.255355776587605,0.14285714285714285,0.6335037933537904,0.4043900551811203,2.324438202247191,7,0.7332100652413,6.434250764525994,341,2.523238040157221,1.122890340089899,0.14285714285714285,0.002932551319648094,18.57306
1125,0.1964004004004004,-0.015343693794355814,0.3592077633483517,1.8289563698242814,2.2528449047436387,0.14285714285714285,0.6294229362160849,0.4064341195898147,2.3419676945668133,7,0.7608542904867887,6.437564706275256,341,2.5259273734121663,1.131473651352195,0.14285714285714285,0.002932551319648094,18.54093
1150,0.19573373373373373,-0.027024676178633848,0.35925497857194,1.835426994207612,2.2537054860442733,0.14285714285714285,0.6308395934887085,0.4035635017234502,2.3461973003508354,7,0.7666803586524505,6.42544976450813,341,2.5257428598207454,1.123334472155791,0.14285714285714285,0.002932551319648094,18.29985
1175,0.19711711711711713,-0.0007263552932348775,0.3614158033719277,1.8335079604334539,2.2546410695051637,0.14285714285714285,0.6324049832141508,0.4033617712776762,2.337689092942492,7,0.755268835174609,6.389993362097577,313,2.520463883607641,1.1160601376984685,0.14285714285714285,0.003194888178913738,18.38022
1200,0.19717317317317318,0.0024824801189857397,0.3605718463163025,1.8287064133193192,2.2501584083132684,0.14285714285714285,0.6252660226677983,0.4104967102591179,2.3251092707614447,7,0.7380109422276107,6.3996677464905725,338,2.523118588655235,1.138460238792521,0.14285714285714285,0.0029585798816568047,18.3963
1225,0.1995955955955956,0.028892870750885247,0.3645810347248691,1.8265985962112792,2.2517655804732994,0.14285714285714285,0.6279084808170458,0.42219502898754235,2.353348988035335,7,0.7755483937749436,6.3986229661243,363,2.521077056470018,1.1580279520193684,0.14285714285714285,0.0027548209366391185,18.41237
1250,0.19826226226226226,0.01346442259467428,0.36215566685515793,1.8266495233273223,2.2488713318284423,0.125,0.6232922328593269,0.41888480491154373,2.337992447725864,7,0.7544729930042746,6.40812756173148,388,2.5230324544338654,1.1566429666806077,0.14285714285714285,0.002577319587628866,18.47665
1275,0.1965245245245245,0.00027808898165989965,0.3595513630251416,1.8295495887602202,2.2452290076335877,0.125,0.617334829766668,0.41878896540483274,2.3269372275994793,7,0.7392201531303382,6.448370382751128,407,2.5321169986089056,1.1647542144779712,0.14285714285714285,0.002457002457002457,18.62126
1300,0.19436436436436436,-0.012189596049340563,0.3550496987176186,1.82672219714117,2.241368099356265,0.125,0.6109526028088709,0.4128341144358037,2.3166290965840126,7,0.7244077059284543,6.465284265314294,407,2.53292651620946,1.162750217580505,0.14285714285714285,0.002457002457002457,18.18731
1325,0.19445045045045045,-0.01097541408047192,0.3563647969689482,1.8326766337821185,2.2413391180470117,0.125,0.6109557706077858,0.4161827691293963,2.3255666781728226,7,0.7374939103225904,6.442795906160696,407,2.528711780509861,1.1678560078583191,0.14285714285714285,0.002457002457002457,18.38022
