,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=PI_FHJ_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
1000,0.19484884884884884,-0.009905871829645268,0.3565403228292252,1.8298302758042269,2.248493487980302,0.125,0.6229801663135214,0.4254728903593042,2.3756525730021227,8,0.7995006499665689,6.610461338531514,809,2.5509163600500497,1.1933373677991987,0.125,0.0012360939431396785,18.09083
1025,0.19347747747747748,-0.02044312483252945,0.3560253306016018,1.840138372917573,2.248676557087772,0.125,0.62329020765989,0.4306512696343205,2.3866842527812824,8,0.8153460248882826,6.7373449109923955,834,2.58275838728751,1.2096085098962421,0.125,0.001199040767386091,18.41237
1050,0.1923983983983984,-0.018563500090317087,0.3537246495947057,1.8385010090481617,2.2454587489266133,0.125,0.618080489964652,0.4333683651915133,2.381518755718207,8,0.8089661009771151,6.783611315080947,859,2.5922938878642547,1.2251573807142437,0.125,0.0011641443538998836,18.31593
1075,0.19276676676676677,-0.003591361081783993,0.3556451026618339,1.8449502921431349,2.248014179741351,0.09090909090909091,0.6219219555047255,0.4369852628080634,2.393810092734824,8,0.8235404298243982,6.8173822799950745,884,2.5981148262053004,1.228711599112253,0.125,0.0011312217194570137,18.28378
1100,0.19224424424424424,0.006234669602327402,0.35486222481411284,1.8458925842443648,2.245387453874539,0.09090909090909091,0.6176751415182438,0.439203965592652,2.376056338028169,8,0.8016088242488532,6.821508929827028,909,2.5959137556188114,1.2376746096959739,0.125,0.0011001100110011,18.2677
1125,0.19105505505505505,-0.006938498680423673,0.35301575991281753,1.8477174540662709,2.240705021616229,0.09090909090909091,0.6099146477547995,0.4423778187610026,2.3738753936122357,8,0.7985166384630171,6.895969643775378,934,2.611665648977771,1.2531390067974708,0.125,0.0010706638115631692,18.21947
1150,0.19040840840840842,-0.009717420294221926,0.3514178468914614,1.8456004639128258,2.2389469453376205,0.09090909090909091,0.6070088362291713,0.4394747079666488,2.3721906923950056,8,0.7961347723500166,6.925626602107662,959,2.618513422989882,1.2505759506926368,0.125,0.0010427528675703858,18.21947
1175,0.1905005005005005,-0.009654446993553917,0.35197309652671954,1.8476229490315423,2.2362288842892437,0.09090909090909091,0.6024879394809766,0.4419631128159319,2.3603861480608406,8,0.7798403727108298,6.888216560509554,984,2.613004147339802,1.2556729965364866,0.125,0.0010162601626016261,18.15515
1200,0.19103703703703703,-0.009367667615863138,0.35135135135135137,1.8391792335181247,2.2354313908521135,0.09090909090909091,0.6011649881026327,0.43482179348794314,2.360450563204005,8,0.779987138664432,6.852906956245813,393,2.6124526495988114,1.2375697199272226,0.125,0.002544529262086514,18.29985
1225,0.19028828828828828,-0.004671638944226402,0.3511872823491041,1.8455538462622176,2.2338218563876064,0.09090909090909091,0.5984878906331859,0.43504929036602175,2.3510916534000454,8,0.7661214014634019,6.853356330740258,393,2.6058483745316643,1.2387956860395448,0.125,0.002544529262086514,18.20339
1250,0.18806606606606607,-0.02357667366965754,0.3480237175188154,1.8505396789474902,2.2319087930092847,0.09090909090909091,0.5954172420959127,0.43780538434516014,2.3557681292244244,8,0.7726104105469983,6.922289881753168,393,2.614930514784147,1.2579757134554799,0.125,0.002544529262086514,18.36415
1275,0.18787787787787788,-0.009794272589553541,0.3475944376365283,1.8501083872283648,2.2292079546231123,0.09090909090909091,0.5908815904199614,0.4345356705205392,2.354445727482679,8,0.7711271528493034,6.905056814171783,393,2.6143981682102027,1.250122624156959,0.125,0.002544529262086514,17.99432
1300,0.18777577577577578,-0.008097724221782197,0.3471544022005672,1.8487709650850088,2.2276116850242866,0.09090909090909091,0.5881431350575201,0.4325223361835512,2.3628633001339625,8,0.7812448518531585,6.952535078515409,393,2.6238969992286165,1.2459076809680292,0.125,0.002544529262086514,18.13907
1325,0.18875675675675677,-0.008374031856297577,0.34838360697467224,1.8456748937661616,2.2284260515603798,0.09090909090909091,0.5893330419631951,0.43468669127317466,2.3543198529411766,8,0.7685640984933332,6.91995036780998,393,2.6166147064602256,1.247724297500533,0.125,0.002544529262086514,18.09083
1350,0.18937337337337337,-0.001524240762343477,0.3501564614343708,1.8490268995947672,2.2311889525092625,0.09090909090909091,0.5939973451152232,0.42868318673883626,2.3428472382713195,8,0.753444326376545,6.870743620942002,393,2.6020855555719393,1.2242618199384094,0.125,0.002544529262086514,18.23555
1375,0.18967767767767768,0.003296122320783339,0.35033353035548426,1.846993988142409,2.230945019491867,0.09090909090909091,0.5936022174899211,0.42843874018407496,2.334617817909933,8,0.7429204603378671,6.833967624826812,393,2.597679590995323,1.22294528802121,0.125,0.002544529262086514,18.15515
1400,0.18955555555555556,-0.0008253588078766185,0.3497248714130308,1.8449729441484626,2.2329894126373997,0.09090909090909091,0.5970155677319691,0.41934666201958115,2.3250570943374127,8,0.7297157611867414,6.7763114426303614,402,2.588020504273878,1.1990758916437654,0.125,0.0024875621890547263,18.15515
1425,0.18916316316316317,0.007032723567768255,0.34892630732270047,1.8445785188194024,2.2353379890162044,0.09090909090909091,0.6008703267146147,0.42078804491623184,2.2976768377253816,8,0.6903209538326958,6.783558068725533,427,2.591015289026077,1.2059510449209863,0.125,0.00234192037470726,18.17123
1450,0.18943143143143143,0.008969474589739405,0.34914025427759166,1.8430956871271391,2.2348802597754025,0.09090909090909091,0.600223330354729,0.4208473806026146,2.28410003441551,8,0.6708345944856046,6.756624583795783,452,2.584509679512977,1.2053820075069621,0.125,0.0022123893805309734,18.18731
