,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_FHJ_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
1000,0.19435835835835835,-0.00969111820538186,0.34325621639438825,1.766099586833779,2.2335120643431634,0.125,0.5984063708500991,0.3736841020992563,2.2231891163132738,7,0.5680792109045693,6.354460442333383,561,2.509168160304737,1.0886448205497539,0.14285714285714285,0.0017825311942959,18.21947
1025,0.19426426426426427,-0.006458793991952922,0.3418457257690524,1.7596943373178924,2.229833288518419,0.125,0.5922785721055034,0.3788529911887463,2.2220744680851063,7,0.5690910275783414,6.379430746318054,586,2.5138153509360635,1.1082572126254862,0.14285714285714285,0.0017064846416382253,18.3963
1050,0.1934034034034034,-0.00795878249015519,0.3404585683970809,1.7603545873851447,2.2274143302180685,0.125,0.5882240467077721,0.3802080637648155,2.2106530243755644,7,0.5495515179750659,6.4217567095389425,611,2.5200821029872396,1.1167528124049864,0.14285714285714285,0.0016366612111292963,18.25163
1075,0.19433233233233232,-0.000251725140420321,0.3424780310912856,1.7623317076522593,2.2266577361018083,0.125,0.5869372539295132,0.3809455129856082,2.2185025197984163,7,0.5659704221705768,6.377992252425256,635,2.5120234535241144,1.1123210203344964,0.14285714285714285,0.0015748031496062992,17.96215
1100,0.19304504504504505,-0.005103403045420319,0.34018833094808454,1.762222546912329,2.2275567024310745,0.125,0.5884457448528227,0.3708024806587435,2.215440857550034,7,0.5612546815294656,6.404251435398759,635,2.5169353568704125,1.089991769045514,0.14285714285714285,0.0015748031496062992,18.15515
1125,0.1903883883883884,-0.01741752039946747,0.33647041504116765,1.7672843280482784,2.2247097267607594,0.125,0.5835846071957431,0.37397869588534055,2.2200374531835205,7,0.5714710875202751,6.5010979800519655,635,2.5379730083943173,1.111475717232327,0.14285714285714285,0.0015748031496062992,18.02649
1150,0.19135135135135134,-0.0015022586346959015,0.3374450721908349,1.7634841343306344,2.22803260569218,0.125,0.5892255060485887,0.37257794517681525,2.22471418754295,7,0.5805168593103571,6.474848657145724,635,2.5352334566942636,1.1041143459523146,0.14285714285714285,0.0015748031496062992,18.2677
1175,0.19106706706706705,-0.003729595644951409,0.33756994069448226,1.7667615140394173,2.228316502974132,0.125,0.5896532452438865,0.37880089691737046,2.2340872574465456,7,0.5975310140231108,6.518800154775324,635,2.539871803090308,1.1221404848371979,0.14285714285714285,0.0015748031496062992,18.04258
1200,0.19080880880880882,-0.013026555618645394,0.3374182920815453,1.7683580448303082,2.2287753829094186,0.125,0.5904485169016385,0.3743298114553715,2.2369427550316634,7,0.6029544069778535,6.48925874453728,635,2.53508490591486,1.1093939488168165,0.14285714285714285,0.0015748031496062992,18.2677
1225,0.1914854854854855,0.0016615600003330872,0.33800328290484805,1.765163986439424,2.2282031842304777,0.125,0.5894715223383447,0.37694857130908443,2.2729794477367293,7,0.6561400690652237,6.481982735546039,635,2.53171976835816,1.1152216276408178,0.14285714285714285,0.0015748031496062992,17.8978
1250,0.1919019019019019,0.013823495858948636,0.3378749152365552,1.760664755731671,2.22805448541552,0.125,0.5892444972553373,0.3858744979395963,2.277726460988977,7,0.6658618619653451,6.501350195400949,635,2.5363657805054407,1.1420631734955384,0.14285714285714285,0.0015748031496062992,18.13907
1275,0.19053253253253252,0.008886008925138349,0.338012629897763,1.774041552930332,2.2279243714938706,0.125,0.5890479036066995,0.38758655472780573,2.2614799828336705,7,0.6403297803743723,6.4933798607516735,635,2.534734616618275,1.14666293636731,0.14285714285714285,0.0015748031496062992,18.12299
1300,0.19125725725725726,0.023934252335488123,0.3391288874001654,1.7731556557041297,2.227891624260762,0.125,0.5888527226128513,0.38222394355877026,2.2701274479328566,6,0.6542409026753988,6.465855363920889,635,2.526750016042555,1.1270757454163838,0.16666666666666666,0.0015748031496062992,18.23555
1325,0.18983183183183183,0.00870308379961811,0.33781546281941766,1.7795511930722006,2.2262996941896023,0.125,0.5861365313526516,0.39477541894727963,2.2948136341343797,6,0.6894801911617798,6.570638613527548,635,2.546451405278099,1.1686126373626373,0.16666666666666666,0.0015748031496062992,18.10691
1350,0.18857257257257257,0.0016175847679038707,0.33610073042296584,1.7823415454207516,2.2237988198932284,0.125,0.5819007418698036,0.3992164939697639,2.3180249044507457,6,0.7254335861377613,6.674028993435448,635,2.5660066731625615,1.1877882367805925,0.16666666666666666,0.0015748031496062992,18.20339
1375,0.18897897897897897,0.0018545708695758075,0.3359394035701043,1.7776548766700262,2.2251771805487333,0.125,0.5842600087612048,0.3996080300863393,2.3000609756097563,6,0.6988342053119526,6.664490772385509,635,2.5597041344105076,1.189524139888367,0.16666666666666666,0.0015748031496062992,18.15515
1400,0.18874074074074074,-0.011407689708623207,0.33696805125376555,1.7853487801906731,2.2265208858985144,0.125,0.5864742156197876,0.40325215325215324,2.2954353338968723,6,0.6926800847567445,6.650592764188867,635,2.555757136376145,1.196707378494082,0.16666666666666666,0.0015748031496062992,17.8978
1425,0.19023023023023022,0.004060624401055342,0.3421174489581141,1.7984389155396547,2.230853692012078,0.125,0.5937316391844469,0.4049463270890339,2.289675691758405,6,0.6823658744086851,6.580520993365185,635,2.5448817899451526,1.1836471022517534,0.16666666666666666,0.0015748031496062992,18.04258
1450,0.18934334334334335,0.0011482582731663375,0.3410765831015998,1.8013655884543713,2.22930200414651,0.125,0.5911207586098913,0.4063672986032545,2.2808902077151334,6,0.6688129961692596,6.5843151135157,375,2.5505935501935793,1.1914253828507657,0.16666666666666666,0.0026666666666666666,17.99432
1475,0.18741341341341342,-0.011354437783743183,0.336427632914232,1.7951096817820056,2.22682599165665,0.125,0.586966301549324,0.3926911860532191,2.284285092897533,6,0.6745244598541433,6.617907216669203,400,2.5565368245510256,1.1672382041023688,0.16666666666666666,0.0025,18.25163
1500,0.18626826826826826,-0.012553892359612058,0.3344224589159618,1.7953807270829303,2.2242476231324613,0.125,0.5826837553532143,0.3966638363732118,2.2884603460035966,6,0.6818755831886423,6.679555752393282,425,2.5705826368206384,1.1861160212116342,0.16666666666666666,0.002352941176470588,18.10691
1525,0.18696296296296297,-0.012567480107859534,0.33546065875701375,1.7942626359824427,2.2272145599317503,0.125,0.5877012304102519,0.39833811624619864,2.297288952016303,6,0.6957465359895663,6.656072798886286,450,2.563254857056832,1.1874361593462717,0.16666666666666666,0.0022222222222222222,18.29985
1550,0.1882862862862863,0.002410517094273053,0.33605886293315185,1.7848292064254734,2.2282853919909758,0.125,0.589496507440001,0.3999829875915746,2.2958803783948736,6,0.6944088275728184,6.644456534675349,475,2.562634542706834,1.190217047396064,0.16666666666666666,0.002105263157894737,18.10691
1575,0.18981981981981982,0.007052056651651652,0.3376048093656067,1.7785540502886732,2.2331519464210965,0.16666666666666666,0.5976239582119817,0.39297579496915047,2.303839732888147,6,0.7064477948465867,6.6264623243933585,500,2.551920343527498,1.1640112464854733,0.16666666666666666,0.002,18.01041
1600,0.19066866866866866,0.014641531655066998,0.3402282678314556,1.7843952559540952,2.234535549272464,0.16666666666666666,0.5999273319590709,0.39120528354980627,2.290263093189083,6,0.6861289012727503,6.587839098790357,525,2.544410728767833,1.1498318056970034,0.16666666666666666,0.0019047619047619048,18.13907
1625,0.18864864864864864,-0.01568363211669221,0.3384803141250133,1.7942366221526493,2.2329179501540186,0.16666666666666666,0.5972338894415576,0.39860978456966994,2.3220202769535114,6,0.7297529184011344,6.740611973085638,550,2.573819237659762,1.177645398965355,0.16666666666666666,0.0018181818181818182,18.09083
1650,0.18883883883883884,-0.019384838561908563,0.338690697058044,1.7935436329763368,2.2329628853009016,0.16666666666666666,0.5972667245401271,0.4009647495361781,2.3270165507906233,6,0.7373583525322531,6.790085529760866,575,2.5864822747519547,1.1838670297680534,0.16666666666666666,0.0017391304347826088,18.2677
1675,0.18957357357357357,-0.005060043802023949,0.3391310775989524,1.7889153599108343,2.234569619372347,0.125,0.6000048354046913,0.4012693786169898,2.3161840902163973,6,0.7221213789612324,6.710681085183078,600,2.575467445110085,1.1832279762090119,0.16666666666666666,0.0016666666666666668,18.13907
