,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_JLN_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
1000,0.19812012012012012,0.01189584157156506,0.35228019118642695,1.778114161110137,2.238474380377552,0.14285714285714285,0.6066007541688392,0.40974727417871687,2.340625721542369,6,0.7539281068756355,6.592397680999379,552,2.54515716694849,1.163128908266881,0.16666666666666666,0.0018115942028985507,18.3963
1025,0.19874674674674675,0.006029752995215786,0.3557829844672321,1.7901323684084698,2.2412589631321786,0.14285714285714285,0.6111382619432483,0.4073070491770252,2.3469150850310525,6,0.7609449489519696,6.5381994383946305,577,2.5356417729422596,1.144818799546999,0.16666666666666666,0.0017331022530329288,18.50879
1050,0.19876676676676677,-0.009003536014591139,0.3550219572136497,1.786123319247996,2.2405288583778287,0.14285714285714285,0.6099496525360906,0.4141754965553362,2.3527291452111228,6,0.7696686287972742,6.606959231368475,602,2.551743997015506,1.166619382660009,0.16666666666666666,0.0016611295681063123,18.31593
1075,0.19922922922922923,-0.0063477964292559365,0.3557855599658343,1.7858100507756038,2.2457186350374223,0.14285714285714285,0.6183830157846703,0.4024518916746219,2.3535288241170593,6,0.7715035939452116,6.631313659829775,627,2.55853682802239,1.1311642094560246,0.16666666666666666,0.001594896331738437,18.42844
1100,0.20003603603603604,-0.0006371251795048022,0.3574531115514722,1.7869435859400744,2.2461480410037105,0.14285714285714285,0.6190810309343129,0.40509217558397886,2.356544014904518,6,0.7747481047475885,6.61497708300657,652,2.5607901696176345,1.1332736028670625,0.16666666666666666,0.0015337423312883436,18.47665
1125,0.20081281281281282,0.02072173331163259,0.35745618407672525,1.780046696571733,2.2458502975258376,0.16666666666666666,0.6184375990783012,0.3987199170538153,2.343902010197503,6,0.7572946278782828,6.58619550284333,677,2.5525838177714175,1.115437177520569,0.16666666666666666,0.0014771048744460858,18.52486
1150,0.19981181181181182,0.007055876002680575,0.35734324589704025,1.788399007329936,2.245058542112552,0.16666666666666666,0.6171219386945274,0.3921006753101016,2.35039039039039,6,0.7686708618324319,6.568628130086933,701,2.538714090737692,1.0972662273938036,0.16666666666666666,0.0014265335235378032,18.34808
1175,0.19954754754754755,-0.0010994972040207643,0.3560406926580653,1.7842398818418406,2.2428110977690703,0.16666666666666666,0.6134638961649708,0.39687380861608845,2.341818612360881,6,0.7568205842395661,6.597314620208091,701,2.5459328717853515,1.1146866546438232,0.16666666666666666,0.0014265335235378032,18.58912
1200,0.20078878878878878,0.004348821548070186,0.3586156699304046,1.7860343303710802,2.2431707621304726,0.16666666666666666,0.6141010877257195,0.40395238000279177,2.343068648429819,6,0.7581742090716742,6.580478917230609,701,2.536496584053522,1.1264214418772762,0.16666666666666666,0.0014265335235378032,18.57306
1225,0.20248648648648648,0.020695795217615942,0.3620058927053054,1.7878027269215564,2.24708481649687,0.16666666666666666,0.6204576299493774,0.41071958236934214,2.3996880596152734,7,0.8278198438592542,6.606275003057142,701,2.5415955468226143,1.1345660130004918,0.14285714285714285,0.0014265335235378032,18.25163
1250,0.202004004004004,0.008141084608317967,0.3621371443295904,1.7927226052529746,2.2461273666092945,0.16666666666666666,0.6188991994197292,0.4100851329521016,2.4087786703923624,7,0.8364924559698382,6.60818427711369,701,2.5464394624421787,1.1324028461959497,0.14285714285714285,0.0014265335235378032,18.63732
1275,0.20225225225225224,0.005153272715114131,0.3618708240534521,1.789205410687447,2.2455773955773957,0.16666666666666666,0.6180326055330875,0.4115416975996041,2.399353647276085,7,0.8261153004944793,6.583395622924887,701,2.539199160702451,1.137261338147601,0.14285714285714285,0.0014265335235378032,18.49272
1300,0.2038818818818819,0.018640064614979353,0.3654493857952258,1.7924564086913195,2.250256968377774,0.14285714285714285,0.6257852429988591,0.41929908973968716,2.4238519611738663,7,0.8576649291849011,6.550610094287299,701,2.5324283850741005,1.147352016551576,0.14285714285714285,0.0014265335235378032,18.54093
1325,0.20317517517517517,0.008005158854491786,0.3642768460674379,1.7929200541028834,2.250091296409008,0.14285714285714285,0.6255330034406,0.4123524427014564,2.4142148378908503,7,0.8440295744439671,6.48441751809827,701,2.5169150934073747,1.1319754388812249,0.14285714285714285,0.0014265335235378032,18.23555
1350,0.2017917917917918,-0.004943430389330062,0.3619425566744382,1.7936436039375154,2.2479511984718714,0.14285714285714285,0.6220018352517924,0.40695471005506223,2.4154398775173713,7,0.847955654454043,6.48518670216397,701,2.5169907780377003,1.1243626994134093,0.14285714285714285,0.0014265335235378032,18.38022
1375,0.2012152152152152,-0.014846320829739634,0.3600346244540181,1.789301192103854,2.250093271981097,0.14285714285714285,0.6254316231375064,0.4047081297820052,2.442709584434302,7,0.8799461276810373,6.548378201371894,701,2.5348418189993214,1.124081136351075,0.14285714285714285,0.0014265335235378032,18.41237
1400,0.20157757757757758,-0.008649267221381101,0.3632905609407278,1.802236961603106,2.25129246676514,0.125,0.6275282507587051,0.4195038137613221,2.493594663203259,7,0.9328864347831728,6.645384117657346,701,2.557414742978919,1.154733590311381,0.14285714285714285,0.0014265335235378032,18.36415
1425,0.20153153153153153,-0.0029294703788940823,0.3631450851835295,1.8019268866952067,2.252927400468384,0.125,0.6300800492240382,0.428470670044206,2.46877683017572,7,0.9052200204602847,6.658715435771788,701,2.557527805144357,1.1798883904147062,0.14285714285714285,0.0014265335235378032,18.42844
1450,0.20147147147147146,-0.0076376365016702415,0.3630247925671983,1.8018669835277543,2.2520650967821476,0.125,0.6286458391077633,0.43093357181894965,2.4788225207202057,7,0.9198574004852719,6.66212810640532,570,2.556851830265828,1.187063750581666,0.14285714285714285,0.0017543859649122807,18.54093
1475,0.20084684684684684,-0.0009091451028245942,0.3622599005213161,1.8036623736371262,2.249226389404629,0.125,0.6240788043866045,0.4283962800155498,2.483846731780616,7,0.924821496461115,6.650198869583421,583,2.557335675674996,1.1825661062653057,0.14285714285714285,0.0017152658662092624,18.55699
1500,0.20003603603603604,-0.019817566140630245,0.36034548329630295,1.8014028393933357,2.2469420868696957,0.125,0.6203811828588777,0.4221661762645369,2.500563163198767,7,0.9426038825677459,6.694811693442191,583,2.566459027134029,1.171559505624219,0.14285714285714285,0.0017152658662092624,18.49272
1525,0.19867667667667668,-0.024264160519947276,0.3591430788298955,1.8076760938293694,2.2462343228083443,0.125,0.6192157574193595,0.4205302350890275,2.4897386946665074,7,0.9299338786856317,6.704166082199467,583,2.5742930366845327,1.1709267416739149,0.14285714285714285,0.0017152658662092624,18.3963
1550,0.19823823823823825,-0.024968445674499323,0.35764492021813776,1.8041167203490185,2.2432381073034775,0.125,0.6144051445333848,0.4205615027267219,2.4698416464029416,7,0.9066791050590279,6.6798290001744896,583,2.570038286944986,1.1759191280284633,0.14285714285714285,0.0017152658662092624,18.44451
1575,0.1972972972972973,-0.035231002260353556,0.3555048198883815,1.8018737446397417,2.243532274590164,0.125,0.6148514470281834,0.42440385591070523,2.4444769140853304,7,0.8767336906800133,6.677261741232112,583,2.566555925129932,1.193806193806194,0.14285714285714285,0.0017152658662092624,18.3963
