,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_BDF_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
1000,0.20138138138138137,-0.02370905030635182,0.36820757530569637,1.8284092242290024,2.2615863711302437,0.125,0.6436144984432686,0.4123769758425291,2.34993201903467,9,0.7605293646910605,6.3417536395665755,608,2.49349292747169,1.1199578810950916,0.1111111111111111,0.001644736842105263,18.54093
1025,0.2005865865865866,-0.04589099568802732,0.36641282325112534,1.8267065085778158,2.260869565217391,0.125,0.6424784275297212,0.4111165450680187,2.3435935366408738,9,0.7518356112667839,6.351111184931734,608,2.499016610978297,1.1220037045107865,0.1111111111111111,0.001644736842105263,18.25163
1050,0.201003003003003,-0.033059595319227246,0.36587284987201324,1.8202357397941318,2.2604147437080795,0.125,0.6417362905701132,0.41659943626059504,2.3435118780815776,9,0.7528905741617564,6.3309662147622126,608,2.498674656458076,1.1386453966352699,0.1111111111111111,0.001644736842105263,18.34808
1075,0.20073873873873874,-0.0348995207837988,0.3634323669329504,1.810474496434678,2.2583663857213683,0.125,0.6386115847375102,0.414455115738663,2.3368947871562726,9,0.7448383217089516,6.317040972921239,608,2.4956774269671236,1.1403913174720781,0.1111111111111111,0.001644736842105263,18.50879
1100,0.19989789789789789,-0.024521624680768038,0.36212681148534287,1.8115588772739715,2.254379948874618,0.125,0.6322501732963662,0.4170297148694529,2.323531052954634,9,0.7260650100816054,6.35383186559862,608,2.506210307900739,1.1516123679407047,0.1111111111111111,0.001644736842105263,18.49272
1125,0.20054054054054055,-0.022911488741294197,0.36348208046321256,1.8125117219863698,2.2537913958526774,0.125,0.6312273570254187,0.4209244284715983,2.328730807467138,9,0.7341515694143069,6.372696245733788,608,2.506706465154514,1.1580335072782202,0.1111111111111111,0.001644736842105263,18.20339
1150,0.1994774774774775,-0.032984798724549444,0.36225775047923003,1.8160333440156504,2.25157507329549,0.125,0.6277172329106995,0.42372966408735535,2.3458162018002002,9,0.7586187417078593,6.438648040565499,608,2.522516555797236,1.169691092949162,0.1111111111111111,0.001644736842105263,18.46058
1175,0.19807607607607608,-0.04338335298974468,0.3610911773921305,1.8229923802279098,2.251023880032764,0.125,0.6267462122700613,0.4220580357594073,2.333370585605722,9,0.7415027768167166,6.4682730653384715,608,2.525131540990507,1.1688406202765493,0.1111111111111111,0.001644736842105263,18.38022
1200,0.19848048048048048,-0.029575744361046156,0.3621407893807809,1.8245662671921816,2.253232082339651,0.125,0.6303071757469408,0.42659444629366255,2.3202216370419135,9,0.7232489094801423,6.4695520377231395,453,2.5309160577761602,1.1779795560259587,0.1111111111111111,0.002207505518763797,18.55699
1225,0.19853053053053052,-0.03635443621117339,0.36114192364318415,1.8190749940480657,2.2489952273298166,0.125,0.623453642088402,0.42618437771010226,2.308192244675041,9,0.7070603531984878,6.520351062201282,478,2.5381360450430135,1.1801021975260382,0.1111111111111111,0.0020920502092050207,18.47665
1250,0.19876876876876876,-0.0324353791376276,0.36065870977489045,1.8144636705701545,2.246987951807229,0.125,0.6201622203289172,0.4273354484564637,2.3037411087582127,9,0.701186580973243,6.520921677821489,503,2.540182755788269,1.1848748882931188,0.1111111111111111,0.0019880715705765406,18.15515
1275,0.197997997997998,-0.025718786433586664,0.35853387259858444,1.810795443508523,2.24580404078789,0.125,0.6181688375778516,0.43073811931243683,2.3096942094990243,9,0.7098337294250281,6.59514713474445,528,2.560201849190785,1.2013875179785105,0.1111111111111111,0.001893939393939394,18.34808
1300,0.1986006006006006,-0.024218344862980527,0.3595629076319795,1.810482478625959,2.2468661417322835,0.125,0.6199493895014916,0.4318908075523432,2.311020011866875,9,0.7120288200058172,6.628647168895974,403,2.568455560613245,1.2011550646219407,0.1111111111111111,0.0024813895781637717,18.23555
1325,0.19855255255255255,-0.02377346068559587,0.3613438599675328,1.819890277521831,2.2507850772516016,0.125,0.6263639976649873,0.43625034030067456,2.316043038381243,9,0.7198713503601069,6.597581978506476,403,2.5644422668553384,1.2072997181683733,0.1111111111111111,0.0024813895781637717,18.23555
1350,0.19993193193193193,-0.0054381927298093255,0.3624156369535177,1.8126951180409958,2.2520689440607304,0.125,0.6284734149431495,0.43751627180421765,2.321625929861849,9,0.7277995469291879,6.577731887799002,395,2.566633746494642,1.2072223910700965,0.1111111111111111,0.002531645569620253,18.21947
1375,0.19789789789789788,-0.010449166297481917,0.35797673242286293,1.8088960834114318,2.2477291494632534,0.125,0.6215467871374512,0.4264339908952959,2.3113999012995556,9,0.7138589966108151,6.617044061004888,398,2.572971623180316,1.191233821285254,0.1111111111111111,0.002512562814070352,18.20339
1400,0.19802802802802802,-0.0012253034693444614,0.35868169640600517,1.8112673240135428,2.2462171573282683,0.125,0.6189708768700711,0.4218975888389021,2.3193464124937475,9,0.7256682922704095,6.637934924078091,423,2.575716018429302,1.1762451027368301,0.1111111111111111,0.002364066193853428,18.10691
1425,0.19666466466466467,0.0001766364374773154,0.35734063562513996,1.8170047793509112,2.245585977482088,0.125,0.6178769644945298,0.41980373394140524,2.305529155252418,9,0.7062929340584354,6.6480245479604045,448,2.5797224949953304,1.174799874654588,0.1111111111111111,0.002232142857142857,18.25163
1450,0.1966006006006006,-0.0013753028638720608,0.35709048695545914,1.8163244967948904,2.2450064020486558,0.125,0.6167776728684286,0.4260198366632044,2.308065761888999,9,0.7100888325723338,6.707008487181731,473,2.593421144101363,1.193030484501098,0.1111111111111111,0.0021141649048625794,18.47665
1475,0.1973853853853854,0.013814499013638334,0.3555185913950139,1.801139383753671,2.243328,0.125,0.6140584244980535,0.4188895876016796,2.29635807617459,9,0.6934943061079274,6.679364635574117,498,2.5915213615187307,1.1782494579481912,0.1111111111111111,0.002008032128514056,18.21947
1500,0.1954894894894895,0.008224373583578476,0.3524532243694123,1.8029267214816782,2.241208648085439,0.125,0.610615252111814,0.4166743473941852,2.3118927211773395,9,0.7166444116649979,6.7444979609056395,523,2.6044560483929393,1.182211761971176,0.1111111111111111,0.0019120458891013384,18.41237
1525,0.19481881881881882,0.006885316117694151,0.34967938178230845,1.7948952976021773,2.23912614331776,0.125,0.6071132100954673,0.4137619204209142,2.2946372599304725,9,0.6918649650134939,6.7729310831803415,548,2.609383283437731,1.1832608440108148,0.1111111111111111,0.0018248175182481751,18.28378
1550,0.1924004004004004,-0.007383279662210916,0.34351327728294345,1.7854083285069327,2.232418176900189,0.125,0.5960701435460579,0.4047802380754183,2.2982984757178304,9,0.6970348204258073,6.820963483992133,573,2.616802579093407,1.1783539817647595,0.1111111111111111,0.0017452006980802793,18.332
1575,0.19143743743743744,-0.008274352540442379,0.34219800675569684,1.7875187389484808,2.2312990112512785,0.125,0.5941446135174973,0.4081026531273857,2.2890661661191927,9,0.6836280909274327,6.81182881024176,598,2.613371396849234,1.192592139844753,0.1111111111111111,0.0016722408026755853,18.54093
1600,0.19084084084084085,-0.011081887706603453,0.3425963808025177,1.7951942534577243,2.231804824711269,0.125,0.5949860946778481,0.40316810910044587,2.283541295306001,7,0.6754657998947871,6.751883370535714,623,2.6032139318861836,1.1768020086961848,0.14285714285714285,0.0016051364365971107,18.28378
1625,0.18966366366366366,-0.027067030342112424,0.33983554471853655,1.791779923228612,2.227257004496714,0.125,0.5875793467478573,0.4086682077752093,2.272866032640601,5,0.6590241213188442,6.79710829876245,648,2.6104358218609116,1.2025469793446188,0.2,0.0015432098765432098,18.38022
1650,0.19095095095095094,-0.010176246749691996,0.34289159152862236,1.7957050741093195,2.2299877267148505,0.125,0.5919404437291343,0.4158733487104215,2.2903169928979734,5,0.6840921906996873,6.767791700115179,673,2.6029944199858943,1.2128420730775111,0.2,0.0014858841010401188,18.57306
1675,0.1922922922922923,0.0053604792636906835,0.34449765747006766,1.7915312848131055,2.2324247739846173,0.125,0.5959658654533878,0.420864133263925,2.287978265791261,5,0.6805953898106338,6.714317925591883,698,2.5935833348139394,1.2216748768472907,0.2,0.0014326647564469914,18.18731
1700,0.19134934934934936,-0.0003313877261970965,0.34256478933656975,1.7902584487556532,2.230533415082771,0.125,0.5928906982762012,0.42562696826708796,2.280069498935097,5,0.668987310913251,6.736348966737807,723,2.5966572064460722,1.242471443406023,0.2,0.0013831258644536654,18.34808
1725,0.19211811811811813,0.00617418416014486,0.34512259933516043,1.7964083903995562,2.2336952856275714,0.125,0.5982856867048508,0.4264039265133437,2.2728989612842305,5,0.6582372275770498,6.67789346872042,748,2.58470117758947,1.2355143573175518,0.2,0.001336898395721925,18.21947
1750,0.19223223223223224,0.009299328611312885,0.3449073109768798,1.7942220561648767,2.2348336594911937,0.125,0.6001366746161219,0.4260258279525099,2.2733689007446927,5,0.6586573880533256,6.675443578226376,773,2.5826387789873815,1.2351893230267528,0.2,0.00129366106080207,18.38022
